Titre,Prix_Total,Surface_m2,Prix_m2,Lieu,Lien
10,Rp 9 Miliar,5300,1698113,10  Tanah Rp 9 Miliar Total Harga per m² Rp 1 69 Juta,https://www.99.co/id/properti/tanah-dijual-9miliar-ubud-cp-1000717873
Tanah,Rp 9 Miliar,5300,1698113,Tanah Rp 9 Miliar Total Harga per m² Rp 1 69 Juta Lahan untuk Dijual di Ubud Gianyar Luas 5300m2 Ubud  Gianyar,https://www.99.co/id/properti/tanah-dijual-9miliar-ubud-cp-1000717873
Tanah,Rp 9 Miliar,5300,1698113,Tanah Rp 9 Miliar Total Harga per m² Rp 1 69 Juta Lahan untuk Dijual di Ubud Gianyar Luas 5300m2 Ubud  Gianyar,https://www.99.co/id/properti/tanah-dijual-9miliar-ubud-cp-1000717873
6,"Rp 10,5 Miliar",1500,70000000,6  Tanah Rp 10 5 Miliar Total Harga per m² Rp 7 Juta,https://www.99.co/id/properti/tanah-dijual-10mily-cepaka-cp-1009359220
Tanah,"Rp 10,5 Miliar",1500,70000000,Tanah Rp 10 5 Miliar Total Harga per m² Rp 7 Juta Jual Tanah Area Berkembang di Cepaka  Luas 1500m2m²  Akses Cepaka  Tabanan  Tabanan Cepaka  Tabanan,https://www.99.co/id/properti/tanah-dijual-10mily-cepaka-cp-1009359220
Tanah,"Rp 10,5 Miliar",1500,70000000,Tanah Rp 10 5 Miliar Total Harga per m² Rp 7 Juta Jual Tanah Area Berkembang di Cepaka  Luas 1500m2m²  Akses Cepaka  Tabanan  Tabanan Cepaka  Tabanan,https://www.99.co/id/properti/tanah-dijual-10mily-cepaka-cp-1009359220
2,"Rp 2,5 Miliar",9500,2631579,2  Tanah Rp 23 8 Triliun Total Harga per m² Rp 2 5 Miliar,https://www.99.co/id/properti/tanah-dijual-23tril-cemagi-cp-1009064118
Tanah,"Rp 2,5 Miliar",9500,2631579,Tanah Rp 23 8 Triliun Total Harga per m² Rp 2 5 Miliar Tanah di Cemagi  Luas 9500m²  Lokasi Strategis  Kawasan Nyaman Cemagi  Badung,https://www.99.co/id/properti/tanah-dijual-23tril-cemagi-cp-1009064118
Tanah,"Rp 2,5 Miliar",9500,2631579,Tanah Rp 23 8 Triliun Total Harga per m² Rp 2 5 Miliar Tanah di Cemagi  Luas 9500m²  Lokasi Strategis  Kawasan Nyaman Cemagi  Badung,https://www.99.co/id/properti/tanah-dijual-23tril-cemagi-cp-1009064118
3,"Rp 83,3 Miliar",4500,185111111,3  Tanah Rp 83 3 Miliar Total Harga per m² Rp 18 5 Juta,https://www.99.co/id/properti/tanah-dijual-83mily-cemagi-cp-1009064073
